timestamp_perf_counter,latency_ms
11411.047795706,204
11411.3868768,149
11411.731799136,140
11414.167454941,144
11414.582849094,140
11414.992960658,144
11415.407129582,147
11415.812210556,147
11416.212277103,144
11416.582427565,134
11416.968147925,147
11417.322717219,144
11417.687499053,146
11418.047449213,138
11418.412677122,141
11418.863057832,143
11419.272722025,146
11419.672942572,141
11420.098215295,141
11420.507901757,145
11420.928007523,138
11421.343726103,143
11421.748019496,142
11484.592500321,192
11485.006667685,130
11485.476619882,148
11485.921666956,151
11486.321967484,152
11486.778066963,143
11487.987009474,139
11488.422432455,147
11488.792474492,153
11489.127042148,134
11489.457422071,152
11489.757827133,99
11490.726850413,160
11492.316956049,58
11493.231574396,58
11493.877324628,65
11494.372713984,65
11494.812643226,60
11495.232246663,61
11495.662065668,59
11496.077621898,63
11496.462773863,61
11496.847796232,59
11497.893063366,62
11500.800865775,186
11501.31125839,149
11501.800784575,177
11502.286390687,183
