record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
11313.538923158,1,0.16439,0.532528,0.290502,0.007415,0.230422,7.065739
11313.987327548,2,0.255553,1.697704,1.427613,0.00492,0.261344,3.374077
11314.414943849,3,2.143577,1.80514,1.564307,0.006784,0.230111,3.55095
11314.808993401,4,1.241199,1.616151,1.380188,0.006543,0.225272,3.593746
11315.186046612,5,1.952726,1.699989,1.535289,0.00536,0.156003,4.086904
11315.528677206,6,1.602573,1.352461,1.186088,0.003777,0.159099,3.467653
11315.872173008,7,0.579562,1.704207,1.563074,0.004579,0.133628,4.640133
11316.172781461,8,0.941668,1.775971,1.594957,0.003517,0.174671,3.304615
11316.469942562,9,1.776021,1.468745,1.299916,0.004599,0.161464,3.933796
11316.817657743,10,0.302386,1.958396,1.685409,0.00505,0.264501,3.715269
11317.1985921,11,1.939609,1.569948,1.422792,0.005522,0.138898,3.485517
11317.627719185,12,1.469645,1.81587,1.637092,0.005671,0.16952,3.69656
11318.166713479,13,0.247826,1.709187,1.395768,0.006042,0.302577,3.567281
11318.585037668,14,1.228553,1.889857,1.654095,0.004059,0.229139,3.354744
11318.972421125,15,0.711806,1.861892,1.619255,0.004409,0.234199,3.749946
11319.371458694,16,1.205416,1.712492,1.539305,0.006603,0.161855,3.588382
11320.055482125,17,1.865748,1.061017,0.880805,0.008587,0.168308,3.776348
11320.153538317,18,1.015005,1.716329,1.462251,0.005451,0.245001,3.439013
11320.551075273,19,1.037178,1.778223,1.526529,0.003687,0.245332,4.065546
11321.082664185,20,0.921427,1.721089,1.514925,0.006012,0.194059,3.413138
11321.563345457,21,0.308799,1.754075,1.520477,0.006113,0.223598,3.873541
11322.047534117,22,1.549756,1.325596,1.093862,0.006412,0.220532,3.90807
11322.516718202,23,1.814956,1.708433,1.4627,0.003267,0.236253,3.465784
11322.970613722,24,1.654474,1.647981,1.443461,0.005231,0.195912,3.406445
11323.40874203,25,0.216444,2.004745,1.690696,0.006363,0.302135,3.810544
11323.443176386,26,0.750052,1.854586,1.494494,0.004358,0.351805,3.490351
11323.818640254,27,0.456966,1.867271,1.641669,0.003867,0.218488,3.436012
11324.256044625,28,0.516144,1.8972,1.6426,0.004059,0.246343,3.850131
11324.264705541,29,1.285093,1.923122,1.599735,0.005801,0.31477,3.850401
11324.673958471,30,0.700172,1.767601,1.511106,0.00487,0.247095,3.662495
11325.137404643,31,2.021058,1.50289,1.276928,0.006243,0.215822,3.918608
11325.746175729,32,0.568418,1.373661,1.090263,0.007345,0.26475,3.515903
11326.324270105,33,0.421123,1.719614,1.415886,0.005751,0.293257,3.550029
11327.23669292,34,0.815021,1.73805,1.502368,0.003888,0.228708,3.63106
11327.667863805,35,0.55407,1.934874,1.649743,0.004048,0.277175,3.749257
11327.675089062,36,0.583568,1.510175,1.317048,0.003968,0.185651,3.368314
11328.232150503,37,1.786236,1.472027,1.29888,0.007485,0.161363,3.655678
11328.619706123,38,0.271424,1.967388,1.655134,0.004869,0.302115,3.62126
